COD IBGE;UF;Município;Populaçao;RENDA1;RENDA2;EDUC1;EDUC2;IEOC;ENDcont1;ENDcont2;IGD;IGDu;IGDe;IGDm;IDI;CP1;CP2;N;NE;CO;S;SE;ESQ;DIR;CENTRO;CPP;CPG;ME;TG;TA;TP;BP
3144904;MG;NOVA MÓDICA;3811;354.06;0.5078;23.6;0.808792763;1.319827136;0.246558471;0.3796425;1.04087813;0.748898901;0.188825296;0.103153933;0.059501038;0.502949567;2.011868282;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
5108956;MT;NOVA MONTE VERDE;8543;585.33;0.5092;10.3;0.828444193;1.306677886;-0.125304644;0.279641001;0.868817948;0.418712613;0.326253017;0.123852318;0.046107397;0.488496589;1.955021175;0;0;1;0;0;0;0;1;0;0;1;9;9.642857143;7.24137931;10
5106224;MT;NOVA MUTUM;38206;963.82;0.5218;4.3;0.823362783;1.387271726;-0.188867402;0.100127404;0.712043545;0.237794613;0.358202917;0.116046015;0.167375422;0.492039304;1.968656251;0;0;1;0;0;1;0;0;0;0;1;9;8.571428571;9.310344828;10
1303106;AM;NOVA OLINDA DO NORTE;34498;224;0.6337;10.4;0.544401368;1.144774708;-0.079082706;0.143473514;1.038391225;0.529632974;0.16679529;0.341962962;0.064826565;0.503595638;2.01448673;1;0;0;0;0;1;0;0;1;0;1;2.8;0.714285714;8.275862069;0
4313086;RS;NOVA PÁDUA;2551;914.45;0.319;2.9;0.854992591;1.804931528;-0.242814231;0.662731525;0.88048064;0.580460701;0.287484145;0.012535793;0.213905671;0.492134912;1.96902686;0;0;0;1;0;0;0;1;0;1;0;10;10;10;10
4313102;RS;NOVA PALMA;6579;905.23;0.5386;2.5;0.7272835;1.335495627;-0.177360577;0.784516681;0.681477494;0.344933604;0.269499977;0.067043914;0.122262618;0.49178238;1.967661019;0;0;0;1;0;1;0;0;0;0;1;10;10;10;10
4313201;RS;NOVA PETRÓPOLIS;20275;988.79;0.4428;2.5;0.916245098;1.152658158;-0.246609797;0.035019445;0.763320087;0.351109269;0.27031553;0.141895288;0.043477333;0.481236281;1.927659863;0;0;0;1;0;0;1;0;0;0;1;7.3;8.75;8.275862069;0
3145000;MG;NOVA PONTE;14241;758.94;0.5315;9.4;0.809684274;1.204374749;-0.305416487;0.128666333;0.812909196;0.323975712;0.365034517;0.123898966;0.076793717;0.433043958;1.763805174;0;0;0;0;1;0;1;0;0;0;1;0.1;0.178571429;0;0
3145059;MG;NOVA PORTEIRINHA;7630;301.24;0.4077;18.1;0.780598417;1.1994675;-0.199750805;0.008369627;0.993613899;0.624110878;0.230965592;0.138537428;0.025582525;0.49767847;1.990756798;0;0;0;0;1;1;0;0;0;0;1;0.4;0.714285714;0;0
4313300;RS;NOVA PRATA;24785;1023.62;0.4477;3;0.815437822;1.337531181;-0.259167418;0.907591475;0.626477812;0.272719137;0.248182363;0.105576312;0.033738798;0.499931321;1.999725321;0;0;0;1;0;1;0;0;0;0;1;9.3;9.642857143;10;6.666666667
